cnpj,input_company,setor,subsetor,segmento,cnae_primario,cnae_descricao,cnae_secundarios,source,confidence,cnae_secundarios_norm,cnae_secundarios_descricao,cnae_secundarios_pairs,cnae7,setor_progest,subsetor_progest,segmento_progest
13324184000197,VIGOR ALIMENTOS S.A.,G — COMÉRCIO; REPARAÇÃO DE VEÍCULOS,Divisão 46,Classe 4631,4631100,Comércio atacadista de leite e laticínios,"4637103,4637105,4639701,4721103,4729699,8219999",RFB_estab,0.9,4637103 | 4637105 | 4639701 | 4721103 | 4729699 | 8219999,Comércio atacadista de óleos e gorduras | Comércio atacadista de massas alimentícias | Comércio atacadista de produtos alimentícios em geral | Comércio varejista de laticínios e frios | Comércio varejista de produtos alimentícios em geral ou especializado em produtos alimentícios não especificados anteriormente | Preparação de documentos e serviços especializados de apoio administrativo não especificados anteriormente,4637103 — Comércio atacadista de óleos e gorduras | 4637105 — Comércio atacadista de massas alimentícias | 4639701 — Comércio atacadista de produtos alimentícios em geral | 4721103 — Comércio varejista de laticínios e frios | 4729699 — Comércio varejista de produtos alimentícios em geral ou especializado em produtos alimentícios não especificados anteriormente | 8219999 — Preparação de documentos e serviços especializados de apoio administrativo não especificados anteriormente,4631100,Comércio,Comércio,Atividade Principal
13444994000187,MLOG S.A.,B — INDÚSTRIAS EXTRATIVAS,Divisão 07,Classe 0710,0710301,Extração de minério de ferro,"6462000,0990401,7119702,5030101",RFB_estab,0.9,6462000 | 0990401 | 7119702 | 5030101,Holdings de instituições não financeiras | Atividades de apoio à extração de minério de ferro | Atividades de estudos geológicos | Navegação de apoio marítimo,6462000 — Holdings de instituições não financeiras | 0990401 — Atividades de apoio à extração de minério de ferro | 7119702 — Atividades de estudos geológicos | 5030101 — Navegação de apoio marítimo,0710301,Mineração,Mineração,Atividade Principal
13457942000145,RIVA INCORPORADORA S.A,F — CONSTRUÇÃO,Divisão 41,Classe 4110,4110700,Incorporação de empreendimentos imobiliários,"4120400,4679699,5250802,6462000,6810201,6810202,6821801,6822600,7020400,7112000,7739099",RFB_estab,0.9,4120400 | 4679699 | 5250802 | 6462000 | 6810201 | 6810202 | 6821801 | 6822600 | 7020400 | 7112000 | 7739099,"Construção de edifícios | Comércio atacadista de materiais de construção em geral | Atividades de despachantes aduaneiros | Holdings de instituições não financeiras | Compra e venda de imóveis próprios | Aluguel de imóveis próprios | Corretagem na compra e venda e avaliação de imóveis | Gestão e administração da propriedade imobiliária | Atividades de consultoria em gestão empresarial, exceto consultoria técnica específica | Serviços de engenharia | Aluguel de outras máquinas e equipamentos comerciais e industriais não especificados anteriormente, sem operador","4120400 — Construção de edifícios | 4679699 — Comércio atacadista de materiais de construção em geral | 5250802 — Atividades de despachantes aduaneiros | 6462000 — Holdings de instituições não financeiras | 6810201 — Compra e venda de imóveis próprios | 6810202 — Aluguel de imóveis próprios | 6821801 — Corretagem na compra e venda e avaliação de imóveis | 6822600 — Gestão e administração da propriedade imobiliária | 7020400 — Atividades de consultoria em gestão empresarial, exceto consultoria técnica específica | 7112000 — Serviços de engenharia | 7739099 — Aluguel de outras máquinas e equipamentos comerciais e industriais não especificados anteriormente, sem operador",4110700,Construção & Engenharia,Construção & Engenharia,Atividade Principal
13522948000159,SAFIRA HOLDING S.A.,"K — ATIVIDADES FINANCEIRAS, SEGUROS E SERVIÇOS REL.",Divisão 64,Classe 6462,6462000,Holdings de instituições não financeiras,"3511501,6461100,7490199,7739099",RFB_estab,0.9,3511501 | 6461100 | 7490199 | 7739099,"Geração de energia elétrica | Holdings de instituições financeiras | Outras atividades profissionais, científicas e técnicas não especificadas anteriormente | Aluguel de outras máquinas e equipamentos comerciais e industriais não especificados anteriormente, sem operador","3511501 — Geração de energia elétrica | 6461100 — Holdings de instituições financeiras | 7490199 — Outras atividades profissionais, científicas e técnicas não especificadas anteriormente | 7739099 — Aluguel de outras máquinas e equipamentos comerciais e industriais não especificados anteriormente, sem operador",6462000,Serviços Financeiros,Holdings & Conglomerados,Holding Financeira
13552070000102,PRONOR PETROQUIMICA SA,"K — ATIVIDADES FINANCEIRAS, SEGUROS E SERVIÇOS REL.",Divisão 64,Classe 6462,6462000,Holdings de instituições não financeiras,,RFB_estab,0.9,,,,6462000,Serviços Financeiros,Holdings & Conglomerados,Holding Financeira
13574594000196,ZAMP SA,I — ALOJAMENTO E ALIMENTAÇÃO,Divisão 56,Classe 5611,5611203,"Lanchonetes, casas de chá, de sucos e similares",7020400,RFB_estab,0.9,7020400,"Atividades de consultoria em gestão empresarial, exceto consultoria técnica específica","7020400 — Atividades de consultoria em gestão empresarial, exceto consultoria técnica específica",5611203,Hospitalidade & Alimentação,Hospitalidade & Alimentação,Atividade Principal
13584310000142,SUGOI S.A.,F — CONSTRUÇÃO,Divisão 41,Classe 4110,4110700,Incorporação de empreendimentos imobiliários,4120400,RFB_estab,0.9,4120400,Construção de edifícios,4120400 — Construção de edifícios,4110700,Construção & Engenharia,Construção & Engenharia,Atividade Principal
13608583000180,QGN PARTICIPAÇÕES SA,C — INDÚSTRIAS DE TRANSFORMAÇÃO,Divisão 20,Classe 2019,2019399,Fabricação de outros produtos químicos inorgânicos não especificados anteriormente,,RFB_estab,0.9,,,,2019399,Manufatura,Bens Industriais,Atividade Principal
13783221000478,MADERO INDÚSTRIA E COMÉRCIO S.A.,C — INDÚSTRIAS DE TRANSFORMAÇÃO,Divisão 10,Classe 1013,1013901,Fabricação de produtos de carne,"1033301,1033302,1053800,1091101,1095300,1099699,4631100,4635499,4639701,4647802,4649404,4649408,4649499,4651601,4652400,4665600,4673700,4679699,4683400,4691500,4721103,4723700,4729602,4729699,4759899,4761001,4789002,4789004,4930201,4930202,4930203,5211799,5223100,5320202,5611201,5611203,5611204,5620101,5620104,6462000,6463800,7740300,8020001,8211300",RFB_estab,0.9,1033301 | 1033302 | 1053800 | 1091101 | 1095300 | 1099699 | 4631100 | 4635499 | 4639701 | 4647802 | 4649404 | 4649408 | 4649499 | 4651601 | 4652400 | 4665600 | 4673700 | 4679699 | 4683400 | 4691500 | 4721103 | 4723700 | 4729602 | 4729699 | 4759899 | 4761001 | 4789002 | 4789004 | 4930201 | 4930202 | 4930203 | 5211799 | 5223100 | 5320202 | 5611201 | 5611203 | 5611204 | 5620101 | 5620104 | 6462000 | 6463800 | 7740300 | 8020001 | 8211300,"Fabricação de sucos concentrados de frutas, hortaliças e legumes | Fabricação de sucos de frutas, hortaliças e legumes, exceto concentrados | Fabricação de sorvetes e outros gelados comestíveis | Fabricação de produtos de panificação industrial | Fabricação de especiarias, molhos, temperos e condimentos | Fabricação de outros produtos alimentícios não especificados anteriormente | Comércio atacadista de leite e laticínios | Comércio atacadista de bebidas não especificadas anteriormente | Comércio atacadista de produtos alimentícios em geral | Comércio atacadista de livros, jornais e outras publicações | Comércio atacadista de móveis e artigos de colchoaria | Comércio atacadista de produtos de higiene, limpeza e conservação domiciliar | Comércio atacadista de outros equipamentos e artigos de uso pessoal e doméstico não especificados anteriormente | Comércio atacadista de equipamentos de informática | Comércio atacadista de componentes eletrônicos e equipamentos de telefonia e comunicação | Comércio atacadista de máquinas e equipamentos para uso comercial; partes e peças | Comércio atacadista de material elétrico | Comércio atacadista de materiais de construção em geral | Comércio atacadista de defensivos agrícolas, adubos, fertilizantes e corretivos do solo | Comércio atacadista de mercadorias em geral, com predominância de produtos alimentícios | Comércio varejista de laticínios e frios | Comércio varejista de bebidas | Comércio varejista de mercadorias em lojas de conveniência | Comércio varejista de produtos alimentícios em geral ou especializado em produtos alimentícios não especificados anteriormente | Comércio varejista de outros artigos de uso doméstico não especificados anteriormente | Comércio varejista de livros | Comércio varejista de plantas e flores naturais | Comércio varejista de animais vivos e de artigos e alimentos para animais de estimação | Transporte rodoviário de carga, exceto produtos perigosos e mudanças, municipal | Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional | Transporte rodoviário de produtos perigosos | Depósitos de mercadorias para terceiros, exceto armazéns gerais e guarda-móveis | Estacionamento de veículos | Serviços de entrega rápida | Restaurantes e similares | Lanchonetes, casas de chá, de sucos e similares | Bares e outros estabelecimentos especializados em servir bebidas, sem entretenimento | Fornecimento de alimentos preparados preponderantemente para empresas | Fornecimento de alimentos preparados preponderantemente para consumo domiciliar | Holdings de instituições não financeiras | Outras sociedades de participação, exceto holdings | Gestão de ativos intangíveis não financeiros | Atividades de monitoramento de sistemas de segurança eletrônico | Serviços combinados de escritório e apoio administrativo","1033301 — Fabricação de sucos concentrados de frutas, hortaliças e legumes | 1033302 — Fabricação de sucos de frutas, hortaliças e legumes, exceto concentrados | 1053800 — Fabricação de sorvetes e outros gelados comestíveis | 1091101 — Fabricação de produtos de panificação industrial | 1095300 — Fabricação de especiarias, molhos, temperos e condimentos | 1099699 — Fabricação de outros produtos alimentícios não especificados anteriormente | 4631100 — Comércio atacadista de leite e laticínios | 4635499 — Comércio atacadista de bebidas não especificadas anteriormente | 4639701 — Comércio atacadista de produtos alimentícios em geral | 4647802 — Comércio atacadista de livros, jornais e outras publicações | 4649404 — Comércio atacadista de móveis e artigos de colchoaria | 4649408 — Comércio atacadista de produtos de higiene, limpeza e conservação domiciliar | 4649499 — Comércio atacadista de outros equipamentos e artigos de uso pessoal e doméstico não especificados anteriormente | 4651601 — Comércio atacadista de equipamentos de informática | 4652400 — Comércio atacadista de componentes eletrônicos e equipamentos de telefonia e comunicação | 4665600 — Comércio atacadista de máquinas e equipamentos para uso comercial; partes e peças | 4673700 — Comércio atacadista de material elétrico | 4679699 — Comércio atacadista de materiais de construção em geral | 4683400 — Comércio atacadista de defensivos agrícolas, adubos, fertilizantes e corretivos do solo | 4691500 — Comércio atacadista de mercadorias em geral, com predominância de produtos alimentícios | 4721103 — Comércio varejista de laticínios e frios | 4723700 — Comércio varejista de bebidas | 4729602 — Comércio varejista de mercadorias em lojas de conveniência | 4729699 — Comércio varejista de produtos alimentícios em geral ou especializado em produtos alimentícios não especificados anteriormente | 4759899 — Comércio varejista de outros artigos de uso doméstico não especificados anteriormente | 4761001 — Comércio varejista de livros | 4789002 — Comércio varejista de plantas e flores naturais | 4789004 — Comércio varejista de animais vivos e de artigos e alimentos para animais de estimação | 4930201 — Transporte rodoviário de carga, exceto produtos perigosos e mudanças, municipal | 4930202 — Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional | 4930203 — Transporte rodoviário de produtos perigosos | 5211799 — Depósitos de mercadorias para terceiros, exceto armazéns gerais e guarda-móveis | 5223100 — Estacionamento de veículos | 5320202 — Serviços de entrega rápida | 5611201 — Restaurantes e similares | 5611203 — Lanchonetes, casas de chá, de sucos e similares | 5611204 — Bares e outros estabelecimentos especializados em servir bebidas, sem entretenimento | 5620101 — Fornecimento de alimentos preparados preponderantemente para empresas | 5620104 — Fornecimento de alimentos preparados preponderantemente para consumo domiciliar | 6462000 — Holdings de instituições não financeiras | 6463800 — Outras sociedades de participação, exceto holdings | 7740300 — Gestão de ativos intangíveis não financeiros | 8020001 — Atividades de monitoramento de sistemas de segurança eletrônico | 8211300 — Serviços combinados de escritório e apoio administrativo",1013901,Manufatura,Bens Industriais,Atividade Principal
13788120000147,ELEKEIROZ S.A.,C — INDÚSTRIAS DE TRANSFORMAÇÃO,Divisão 20,Classe 2022,2022300,"Fabricação de intermediários para plastificantes, resinas e fibras","2012600,2014200,2019399,2021500,2029100,2032100,4684299,5211799,7120100,7210000,7490199",RFB_estab,0.9,2012600 | 2014200 | 2019399 | 2021500 | 2029100 | 2032100 | 4684299 | 5211799 | 7120100 | 7210000 | 7490199,"Fabricação de intermediários para fertilizantes | Fabricação de gases industriais | Fabricação de outros produtos químicos inorgânicos não especificados anteriormente | Fabricação de produtos petroquímicos básicos | Fabricação de produtos químicos orgânicos não especificados anteriormente | Fabricação de resinas termofixas | Comércio atacadista de outros produtos químicos e petroquímicos não especificados anteriormente | Depósitos de mercadorias para terceiros, exceto armazéns gerais e guarda-móveis | Testes e análises técnicas | Pesquisa e desenvolvimento experimental em ciências físicas e naturais | Outras atividades profissionais, científicas e técnicas não especificadas anteriormente","2012600 — Fabricação de intermediários para fertilizantes | 2014200 — Fabricação de gases industriais | 2019399 — Fabricação de outros produtos químicos inorgânicos não especificados anteriormente | 2021500 — Fabricação de produtos petroquímicos básicos | 2029100 — Fabricação de produtos químicos orgânicos não especificados anteriormente | 2032100 — Fabricação de resinas termofixas | 4684299 — Comércio atacadista de outros produtos químicos e petroquímicos não especificados anteriormente | 5211799 — Depósitos de mercadorias para terceiros, exceto armazéns gerais e guarda-móveis | 7120100 — Testes e análises técnicas | 7210000 — Pesquisa e desenvolvimento experimental em ciências físicas e naturais | 7490199 — Outras atividades profissionais, científicas e técnicas não especificadas anteriormente",2022300,Manufatura,Bens Industriais,Atividade Principal
14110585000107,MÉLIUZ S.A.,J — INFORMAÇÃO E COMUNICAÇÃO,Divisão 63,Classe 6319,6319400,"Portais, provedores de conteúdo e outros serviços de informação na Internet","6203100,6463800,6619302,6619399,7490104",RFB_estab,0.9,6203100 | 6463800 | 6619302 | 6619399 | 7490104,"Desenvolvimento e licenciamento de programas de computador não customizáveis | Outras sociedades de participação, exceto holdings | Correspondentes de instituições financeiras | Outras atividades auxiliares dos serviços financeiros não especificadas anteriormente | Atividades de intermediação e agenciamento de serviços e negócios em geral, exceto imobiliários","6203100 — Desenvolvimento e licenciamento de programas de computador não customizáveis | 6463800 — Outras sociedades de participação, exceto holdings | 6619302 — Correspondentes de instituições financeiras | 6619399 — Outras atividades auxiliares dos serviços financeiros não especificadas anteriormente | 7490104 — Atividades de intermediação e agenciamento de serviços e negócios em geral, exceto imobiliários",6319400,"Tecnologia, Mídia & Telecom",Software & Serviços Digitais,Software/Plataformas
14127813000151,REAG INVESTIMENTOS S.A.,J — INFORMAÇÃO E COMUNICAÇÃO,Divisão 63,Classe 6319,6319400,"Portais, provedores de conteúdo e outros serviços de informação na Internet","6461100,6462000,7490104",RFB_estab,0.9,6461100 | 6462000 | 7490104,"Holdings de instituições financeiras | Holdings de instituições não financeiras | Atividades de intermediação e agenciamento de serviços e negócios em geral, exceto imobiliários","6461100 — Holdings de instituições financeiras | 6462000 — Holdings de instituições não financeiras | 7490104 — Atividades de intermediação e agenciamento de serviços e negócios em geral, exceto imobiliários",6319400,"Tecnologia, Mídia & Telecom",Software & Serviços Digitais,Software/Plataformas
14191427000129,GRANBIO INVESTIMENTOS S.A.,"K — ATIVIDADES FINANCEIRAS, SEGUROS E SERVIÇOS REL.",Divisão 64,Classe 6462,6462000,Holdings de instituições não financeiras,6810201,RFB_estab,0.9,6810201,Compra e venda de imóveis próprios,6810201 — Compra e venda de imóveis próprios,6462000,Serviços Financeiros,Holdings & Conglomerados,Holding Financeira
14200586000142,NAOMI PARTICIPAÇÕES S.A.,"K — ATIVIDADES FINANCEIRAS, SEGUROS E SERVIÇOS REL.",Divisão 64,Classe 6462,6462000,Holdings de instituições não financeiras,,RFB_estab,0.9,,,,6462000,Serviços Financeiros,Holdings & Conglomerados,Holding Financeira
14200618000100,BELEZA PARTICIPAÇÕES S.A.,"K — ATIVIDADES FINANCEIRAS, SEGUROS E SERVIÇOS REL.",Divisão 64,Classe 6462,6462000,Holdings de instituições não financeiras,,RFB_estab,0.9,,,,6462000,Serviços Financeiros,Holdings & Conglomerados,Holding Financeira
14212464000176,TGLT S/A,F — CONSTRUÇÃO,Divisão 41,Classe 4110,4110700,Incorporação de empreendimentos imobiliários,,RFB_estab,0.9,,,,4110700,Construção & Engenharia,Construção & Engenharia,Atividade Principal
14308514000113,PARTICIPAÇÕES INDUST. DO NORDESTE S.A.,"K — ATIVIDADES FINANCEIRAS, SEGUROS E SERVIÇOS REL.",Divisão 64,Classe 6462,6462000,Holdings de instituições não financeiras,"1822999,6311900,6920601,6920602,7020400,8219901,8550302",RFB_estab,0.9,1822999 | 6311900 | 6920601 | 6920602 | 7020400 | 8219901 | 8550302,"Serviços de acabamentos gráficos, exceto encadernação e plastificação | Tratamento de dados, provedores de serviços de aplicação e serviços de hospedagem na Internet | Atividades de contabilidade | Atividades de consultoria e auditoria contábil e tributária | Atividades de consultoria em gestão empresarial, exceto consultoria técnica específica | Fotocópias | Atividades de apoio à educação, exceto caixas escolares","1822999 — Serviços de acabamentos gráficos, exceto encadernação e plastificação | 6311900 — Tratamento de dados, provedores de serviços de aplicação e serviços de hospedagem na Internet | 6920601 — Atividades de contabilidade | 6920602 — Atividades de consultoria e auditoria contábil e tributária | 7020400 — Atividades de consultoria em gestão empresarial, exceto consultoria técnica específica | 8219901 — Fotocópias | 8550302 — Atividades de apoio à educação, exceto caixas escolares",6462000,Serviços Financeiros,Holdings & Conglomerados,Holding Financeira
14388334000199,PARANA BCO S.A.,"K — ATIVIDADES FINANCEIRAS, SEGUROS E SERVIÇOS REL.",Divisão 64,Classe 6422,6422100,"Bancos múltiplos, com carteira comercial",6619399,RFB_estab,0.6,6619399,Outras atividades auxiliares dos serviços financeiros não especificadas anteriormente,6619399 — Outras atividades auxiliares dos serviços financeiros não especificadas anteriormente,6422100,Serviços Financeiros,Bancos,Bancos Comerciais
14388520000128,PACIFIC RUBIALES ENERGY CORP.,B — INDÚSTRIAS EXTRATIVAS,Divisão 06,Classe 0600,0600001,Extração de petróleo e gás natural,,RFB_estab,0.9,,,,0600001,Mineração,Mineração,Atividade Principal
14785152000151,HBR REALTY EMPREENDIMENTOS IMOBILIÁRIOS S.A.,,,,,,,UNKNOWN,0.2,,,,0000000,,,Atividade Principal
14796754000104,ENGELHART CTP (BRASIL) S.A.,G — COMÉRCIO; REPARAÇÃO DE VEÍCULOS,Divisão 46,Classe 4622,4622200,Comércio atacadista de soja,"1041400,1042200,3513100,4621400,4623103,4623106,4623108,4623109,4623199,4632001,4632002,4632003,4637101,4637102,4637103,4683400,4687703,4689301,4729699,5211701,5211799,5250805,6462000,6463800,7020400,7120100,7210000,7490103,7490104",RFB_estab,0.9,1041400 | 1042200 | 3513100 | 4621400 | 4623103 | 4623106 | 4623108 | 4623109 | 4623199 | 4632001 | 4632002 | 4632003 | 4637101 | 4637102 | 4637103 | 4683400 | 4687703 | 4689301 | 4729699 | 5211701 | 5211799 | 5250805 | 6462000 | 6463800 | 7020400 | 7120100 | 7210000 | 7490103 | 7490104,"Fabricação de óleos vegetais em bruto, exceto óleo de milho | Fabricação de óleos vegetais refinados, exceto óleo de milho | Comércio atacadista de energia elétrica | Comércio atacadista de café em grão | Comércio atacadista de algodão | Comércio atacadista de sementes, flores, plantas e gramas | Comércio atacadista de matérias-primas agrícolas com atividade de fracionamento e acondicionamento associada | Comércio atacadista de alimentos para animais | Comércio atacadista de matérias-primas agrícolas não especificadas anteriormente | Comércio atacadista de cereais e leguminosas beneficiados | Comércio atacadista de farinhas, amidos e féculas | Comércio atacadista de cereais e leguminosas beneficiados, farinhas, amidos e féculas, com atividade de fracionamento e acondicionamento associada | Comércio atacadista de café torrado, moído e solúvel | Comércio atacadista de açúcar | Comércio atacadista de óleos e gorduras | Comércio atacadista de defensivos agrícolas, adubos, fertilizantes e corretivos do solo | Comércio atacadista de resíduos e sucatas metálicos | Comércio atacadista de produtos da extração mineral, exceto combustíveis | Comércio varejista de produtos alimentícios em geral ou especializado em produtos alimentícios não especificados anteriormente | Armazéns gerais - emissão de warrant | Depósitos de mercadorias para terceiros, exceto armazéns gerais e guarda-móveis | Operador de transporte multimodal - OTM | Holdings de instituições não financeiras | Outras sociedades de participação, exceto holdings | Atividades de consultoria em gestão empresarial, exceto consultoria técnica específica | Testes e análises técnicas | Pesquisa e desenvolvimento experimental em ciências físicas e naturais | Serviços de agronomia e de consultoria às atividades agrícolas e pecuárias | Atividades de intermediação e agenciamento de serviços e negócios em geral, exceto imobiliários","1041400 — Fabricação de óleos vegetais em bruto, exceto óleo de milho | 1042200 — Fabricação de óleos vegetais refinados, exceto óleo de milho | 3513100 — Comércio atacadista de energia elétrica | 4621400 — Comércio atacadista de café em grão | 4623103 — Comércio atacadista de algodão | 4623106 — Comércio atacadista de sementes, flores, plantas e gramas | 4623108 — Comércio atacadista de matérias-primas agrícolas com atividade de fracionamento e acondicionamento associada | 4623109 — Comércio atacadista de alimentos para animais | 4623199 — Comércio atacadista de matérias-primas agrícolas não especificadas anteriormente | 4632001 — Comércio atacadista de cereais e leguminosas beneficiados | 4632002 — Comércio atacadista de farinhas, amidos e féculas | 4632003 — Comércio atacadista de cereais e leguminosas beneficiados, farinhas, amidos e féculas, com atividade de fracionamento e acondicionamento associada | 4637101 — Comércio atacadista de café torrado, moído e solúvel | 4637102 — Comércio atacadista de açúcar | 4637103 — Comércio atacadista de óleos e gorduras | 4683400 — Comércio atacadista de defensivos agrícolas, adubos, fertilizantes e corretivos do solo | 4687703 — Comércio atacadista de resíduos e sucatas metálicos | 4689301 — Comércio atacadista de produtos da extração mineral, exceto combustíveis | 4729699 — Comércio varejista de produtos alimentícios em geral ou especializado em produtos alimentícios não especificados anteriormente | 5211701 — Armazéns gerais - emissão de warrant | 5211799 — Depósitos de mercadorias para terceiros, exceto armazéns gerais e guarda-móveis | 5250805 — Operador de transporte multimodal - OTM | 6462000 — Holdings de instituições não financeiras | 6463800 — Outras sociedades de participação, exceto holdings | 7020400 — Atividades de consultoria em gestão empresarial, exceto consultoria técnica específica | 7120100 — Testes e análises técnicas | 7210000 — Pesquisa e desenvolvimento experimental em ciências físicas e naturais | 7490103 — Serviços de agronomia e de consultoria às atividades agrícolas e pecuárias | 7490104 — Atividades de intermediação e agenciamento de serviços e negócios em geral, exceto imobiliários",4622200,Comércio,Comércio,Atividade Principal
14807945000124,SANSUY S.A. INDUSTRIA DE PLASTICOS,C — INDÚSTRIAS DE TRANSFORMAÇÃO,Divisão 13,Classe 1354,1354500,"Fabricação de tecidos especiais, inclusive artefatos","2221800,3319800,3329599,6463800",RFB_estab,0.9,2221800 | 3319800 | 3329599 | 6463800,"Fabricação de laminados planos e tubulares de material plástico | Manutenção e reparação de equipamentos e produtos não especificados anteriormente | Instalação de outros equipamentos não especificados anteriormente | Outras sociedades de participação, exceto holdings","2221800 — Fabricação de laminados planos e tubulares de material plástico | 3319800 — Manutenção e reparação de equipamentos e produtos não especificados anteriormente | 3329599 — Instalação de outros equipamentos não especificados anteriormente | 6463800 — Outras sociedades de participação, exceto holdings",1354500,Manufatura,Bens Industriais,Atividade Principal
14882295000181,CBO HOLDING S.A.,"K — ATIVIDADES FINANCEIRAS, SEGUROS E SERVIÇOS REL.",Divisão 64,Classe 6462,6462000,Holdings de instituições não financeiras,,RFB_estab,0.9,,,,6462000,Serviços Financeiros,Holdings & Conglomerados,Holding Financeira
14998371000119,J. MACEDO S.A.,C — INDÚSTRIAS DE TRANSFORMAÇÃO,Divisão 10,Classe 1062,1062700,Moagem de trigo e fabricação de derivados,"1092900,1094500,1099602,1099699,1122403,4637199,4639701,4930201,4930202,5231102,7020400,7739099,8211300",RFB_estab,0.9,1092900 | 1094500 | 1099602 | 1099699 | 1122403 | 4637199 | 4639701 | 4930201 | 4930202 | 5231102 | 7020400 | 7739099 | 8211300,"Fabricação de biscoitos e bolachas | Fabricação de massas alimentícias | Fabricação de pós-alimentícios | Fabricação de outros produtos alimentícios não especificados anteriormente | Fabricação de refrescos, xaropes e pós para refrescos, exceto refrescos de frutas | Comércio atacadista especializado em outros produtos alimentícios não especificados anteriormente | Comércio atacadista de produtos alimentícios em geral | Transporte rodoviário de carga, exceto produtos perigosos e mudanças, municipal | Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional | Atividades do Operador Portuário | Atividades de consultoria em gestão empresarial, exceto consultoria técnica específica | Aluguel de outras máquinas e equipamentos comerciais e industriais não especificados anteriormente, sem operador | Serviços combinados de escritório e apoio administrativo","1092900 — Fabricação de biscoitos e bolachas | 1094500 — Fabricação de massas alimentícias | 1099602 — Fabricação de pós-alimentícios | 1099699 — Fabricação de outros produtos alimentícios não especificados anteriormente | 1122403 — Fabricação de refrescos, xaropes e pós para refrescos, exceto refrescos de frutas | 4637199 — Comércio atacadista especializado em outros produtos alimentícios não especificados anteriormente | 4639701 — Comércio atacadista de produtos alimentícios em geral | 4930201 — Transporte rodoviário de carga, exceto produtos perigosos e mudanças, municipal | 4930202 — Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional | 5231102 — Atividades do Operador Portuário | 7020400 — Atividades de consultoria em gestão empresarial, exceto consultoria técnica específica | 7739099 — Aluguel de outras máquinas e equipamentos comerciais e industriais não especificados anteriormente, sem operador | 8211300 — Serviços combinados de escritório e apoio administrativo",1062700,Manufatura,Bens Industriais,Atividade Principal
15073274000188,PPLA PARTICIPATIONS LTD.,"K — ATIVIDADES FINANCEIRAS, SEGUROS E SERVIÇOS REL.",Divisão 64,Classe 6462,6462000,Holdings de instituições não financeiras,,RFB_estab,0.9,,,,6462000,Serviços Financeiros,Holdings & Conglomerados,Holding Financeira
15101405000193,CORREA RIBEIRO S.A. COMERCIO E INDUSTRIA,L — ATIVIDADES IMOBILIÁRIAS,Divisão 68,Classe 6810,6810201,Compra e venda de imóveis próprios,"6810202,4120400",RFB_estab,0.9,6810202 | 4120400,Aluguel de imóveis próprios | Construção de edifícios,6810202 — Aluguel de imóveis próprios | 4120400 — Construção de edifícios,6810201,Imobiliário,Imobiliário,Atividade Principal
15114494000102,CORREDOR LOGÍSTICA E INFRAESTRUTURA S.A.,"H — TRANSPORTE, ARMAZENAGEM E CORREIO",Divisão 52,Classe 5231,5231102,Atividades do Operador Portuário,"5239799,5030101,5030102,5211799,6462000,5212500,4622200,4623199",RFB_estab,0.9,5239799 | 5030101 | 5030102 | 5211799 | 6462000 | 5212500 | 4622200 | 4623199,"Atividades auxiliares dos transportes aquaviários não especificadas anteriormente | Navegação de apoio marítimo | Navegação de apoio portuário | Depósitos de mercadorias para terceiros, exceto armazéns gerais e guarda-móveis | Holdings de instituições não financeiras | Carga e descarga | Comércio atacadista de soja | Comércio atacadista de matérias-primas agrícolas não especificadas anteriormente","5239799 — Atividades auxiliares dos transportes aquaviários não especificadas anteriormente | 5030101 — Navegação de apoio marítimo | 5030102 — Navegação de apoio portuário | 5211799 — Depósitos de mercadorias para terceiros, exceto armazéns gerais e guarda-móveis | 6462000 — Holdings de instituições não financeiras | 5212500 — Carga e descarga | 4622200 — Comércio atacadista de soja | 4623199 — Comércio atacadista de matérias-primas agrícolas não especificadas anteriormente",5231102,Logística & Transporte,Logística,Atividade Principal
15115504000124,TRONOX PIGMENTOS DO BRASIL S.A.,C — INDÚSTRIAS DE TRANSFORMAÇÃO,Divisão 20,Classe 2019,2019399,Fabricação de outros produtos químicos inorgânicos não especificados anteriormente,"0729401,0729404,0729405,4684299,4689301,6463800",RFB_estab,0.9,0729401 | 0729404 | 0729405 | 4684299 | 4689301 | 6463800,"Extração de minérios de nióbio e titânio | Extração de minérios de cobre, chumbo, zinco e outros minerais metálicos não ferrosos não especificados anteriormente | Beneficiamento de minérios de cobre, chumbo, zinco e outros minerais metálicos não ferrosos não especificados anteriormente | Comércio atacadista de outros produtos químicos e petroquímicos não especificados anteriormente | Comércio atacadista de produtos da extração mineral, exceto combustíveis | Outras sociedades de participação, exceto holdings","0729401 — Extração de minérios de nióbio e titânio | 0729404 — Extração de minérios de cobre, chumbo, zinco e outros minerais metálicos não ferrosos não especificados anteriormente | 0729405 — Beneficiamento de minérios de cobre, chumbo, zinco e outros minerais metálicos não ferrosos não especificados anteriormente | 4684299 — Comércio atacadista de outros produtos químicos e petroquímicos não especificados anteriormente | 4689301 — Comércio atacadista de produtos da extração mineral, exceto combustíveis | 6463800 — Outras sociedades de participação, exceto holdings",2019399,Manufatura,Bens Industriais,Atividade Principal
